time;V(/OUT_N);V(/OUT_SINGLE);
9.0024;1.35588;5.20411;
9.00241;1.35312;5.18752;
9.00242;1.35025;5.17015;
9.00243;1.34726;5.15207;
9.00244;1.34419;5.13334;
9.00245;1.34103;5.11405;
9.00246;1.33781;5.09427;
9.00247;1.33453;5.07407;
9.00248;1.33121;5.05355;
9.00249;1.32786;5.03277;
9.0025;1.32449;5.01182;
9.00251;1.32111;4.99078;
9.00252;1.31775;4.96974;
9.00253;1.31441;4.94878;
9.00254;1.31111;4.92797;
9.00255;1.30786;4.90742;
9.00256;1.30467;4.88719;
9.00257;1.30155;4.86736;
9.00258;1.29852;4.84802;
9.00259;1.29559;4.82924;
9.0026;1.29278;4.81109;
9.00261;1.29008;4.79364;
9.00262;1.28752;4.77698;
9.00263;1.28509;4.76115;
9.00264;1.28283;4.74622;
9.00265;1.28072;4.73226;
9.00266;1.27878;4.71931;
9.00267;1.27702;4.70743;
9.00268;1.27544;4.69666;
9.00269;1.27405;4.68705;
9.0027;1.27286;4.67863;
9.00271;1.27187;4.67145;
9.00272;1.27108;4.66552;
9.00273;1.2705;4.66086;
9.00274;1.27013;4.65751;
9.00275;1.26998;4.65546;
9.00276;1.27003;4.65474;
9.00277;1.27029;4.65533;
9.00278;1.27077;4.65725;
9.00279;1.27145;4.66048;
9.0028;1.27234;4.665;
9.00281;1.27343;4.67081;
9.00282;1.27472;4.67788;
9.00283;1.2762;4.68618;
9.00284;1.27787;4.69567;
9.00285;1.27972;4.70633;
9.00286;1.28175;4.7181;
9.00287;1.28394;4.73095;
9.00288;1.28628;4.74481;
9.00289;1.28878;4.75965;
9.0029;1.29141;4.77539;
9.00291;1.29416;4.79198;
9.00292;1.29704;4.80935;
9.00293;1.30002;4.82743;
9.00294;1.30309;4.84616;
9.00295;1.30625;4.86545;
9.00296;1.30947;4.88523;
9.00297;1.31275;4.90543;
9.00298;1.31607;4.92595;
9.00299;1.31942;4.94674;
9.003;1.32279;4.96769;
9.00301;1.32617;4.98872;
9.00302;1.32953;5.00976;
9.00303;1.33287;5.03073;
9.00304;1.33617;5.05153;
9.00305;1.33942;5.07208;
9.00306;1.34262;5.09231;
9.00307;1.34573;5.11214;
9.00308;1.34876;5.13148;
9.00309;1.35169;5.15027;
9.0031;1.35451;5.16841;
9.00311;1.35721;5.18586;
9.00312;1.35977;5.20253;
9.00313;1.36219;5.21835;
9.00314;1.36446;5.23328;
9.00315;1.36657;5.24725;
9.00316;1.36851;5.26019;
9.00317;1.37028;5.27207;
9.00318;1.37185;5.28284;
9.00319;1.37324;5.29245;
9.0032;1.37443;5.30087;
9.00321;1.37543;5.30805;
9.00322;1.37621;5.31399;
9.00323;1.37679;5.31864;
9.00324;1.37716;5.32199;
9.00325;1.37732;5.32404;
9.00326;1.37727;5.32476;
9.00327;1.377;5.32417;
9.00328;1.37653;5.32225;
9.00329;1.37585;5.31902;
9.0033;1.37496;5.3145;
9.00331;1.37386;5.30869;
9.00332;1.37257;5.30162;
9.00333;1.37109;5.29333;
9.00334;1.36942;5.28383;
9.00335;1.36757;5.27318;
9.00336;1.36554;5.2614;
9.00337;1.36335;5.24856;
9.00338;1.36101;5.23469;
9.00339;1.35851;5.21985;
9.0034;1.35588;5.20411;
9.00341;1.35312;5.18752;
9.00342;1.35024;5.17015;
9.00343;1.34726;5.15207;
9.00344;1.34419;5.13334;
9.00345;1.34103;5.11405;
9.00346;1.33781;5.09427;
9.00347;1.33453;5.07407;
9.00348;1.33121;5.05355;
9.00349;1.32785;5.03277;
9.0035;1.32448;5.01182;
9.00351;1.32111;4.99078;
9.00352;1.31775;4.96974;
9.00353;1.31441;4.94878;
9.00354;1.31111;4.92797;
9.00355;1.30786;4.90742;
9.00356;1.30466;4.88719;
9.00357;1.30155;4.86736;
9.00358;1.29852;4.84802;
9.00359;1.29559;4.82924;
9.0036;1.29277;4.81109;
9.00361;1.29008;4.79364;
9.00362;1.28751;4.77698;
9.00363;1.28509;4.76115;
9.00364;1.28282;4.74622;
9.00365;1.28072;4.73226;
9.00366;1.27878;4.71931;
9.00367;1.27702;4.70743;
9.00368;1.27544;4.69666;
9.00369;1.27405;4.68705;
9.0037;1.27286;4.67863;
9.00371;1.27187;4.67145;
9.00372;1.27108;4.66552;
9.00373;1.2705;4.66086;
9.00374;1.27013;4.65751;
9.00375;1.26997;4.65546;
9.00376;1.27003;4.65474;
9.00377;1.27029;4.65533;
9.00378;1.27077;4.65725;
9.00379;1.27145;4.66048;
9.0038;1.27234;4.665;
9.00381;1.27343;4.67081;
9.00382;1.27472;4.67788;
9.00383;1.2762;4.68618;
9.00384;1.27787;4.69567;
9.00385;1.27972;4.70633;
9.00386;1.28175;4.7181;
9.00387;1.28393;4.73095;
9.00388;1.28628;4.74481;
9.00389;1.28877;4.75965;
9.0039;1.2914;4.77539;
9.00391;1.29416;4.79198;
9.00392;1.29704;4.80935;
9.00393;1.30002;4.82743;
9.00394;1.30309;4.84616;
9.00395;1.30625;4.86545;
9.00396;1.30947;4.88523;
9.00397;1.31275;4.90543;
9.00398;1.31607;4.92595;
9.00399;1.31942;4.94674;
9.004;1.32279;4.96769;
9.00401;1.32616;4.98872;
9.00402;1.32953;5.00976;
9.00403;1.33287;5.03073;
9.00404;1.33617;5.05153;
9.00405;1.33942;5.07208;
9.00406;1.34261;5.09231;
9.00407;1.34573;5.11214;
9.00408;1.34876;5.13148;
9.00409;1.35169;5.15027;
9.0041;1.35451;5.16841;
9.00411;1.35721;5.18586;
9.00412;1.35977;5.20253;
9.00413;1.36219;5.21835;
9.00414;1.36446;5.23328;
9.00415;1.36657;5.24725;
9.00416;1.36851;5.26019;
9.00417;1.37027;5.27207;
9.00418;1.37185;5.28284;
9.00419;1.37324;5.29245;
9.0042;1.37443;5.30087;
9.00421;1.37542;5.30805;
9.00422;1.37621;5.31399;
9.00423;1.37679;5.31864;
9.00424;1.37716;5.32199;
9.00425;1.37732;5.32404;
9.00426;1.37727;5.32476;
9.00427;1.377;5.32417;
9.00428;1.37653;5.32225;
9.00429;1.37584;5.31902;
9.0043;1.37495;5.3145;
9.00431;1.37386;5.30869;
9.00432;1.37257;5.30162;
9.00433;1.37109;5.29333;
9.00434;1.36942;5.28383;
9.00435;1.36757;5.27318;
9.00436;1.36554;5.2614;
9.00437;1.36335;5.24856;
9.00438;1.361;5.23469;
9.00439;1.35851;5.21985;
9.0044;1.35588;5.20411;
9.00441;1.35312;5.18752;
9.00442;1.35024;5.17015;
9.00443;1.34726;5.15207;
9.00444;1.34419;5.13334;
9.00445;1.34103;5.11405;
9.00446;1.33781;5.09427;
9.00447;1.33453;5.07407;
9.00448;1.3312;5.05355;
9.00449;1.32785;5.03277;
9.0045;1.32448;5.01182;
9.00451;1.32111;4.99078;
9.00452;1.31775;4.96974;
9.00453;1.31441;4.94878;
9.00454;1.31111;4.92797;
9.00455;1.30785;4.90742;
9.00456;1.30466;4.88719;
9.00457;1.30155;4.86736;
9.00458;1.29852;4.84802;
9.00459;1.29559;4.82924;
9.0046;1.29277;4.81109;
9.00461;1.29008;4.79364;
9.00462;1.28751;4.77698;
9.00463;1.28509;4.76115;
9.00464;1.28282;4.74622;
9.00465;1.28071;4.73226;
9.00466;1.27878;4.71931;
9.00467;1.27701;4.70743;
9.00468;1.27544;4.69666;
9.00469;1.27405;4.68705;
9.0047;1.27286;4.67863;
9.00471;1.27187;4.67145;
9.00472;1.27108;4.66552;
9.00473;1.2705;4.66086;
9.00474;1.27013;4.65751;
9.00475;1.26997;4.65546;
9.00476;1.27003;4.65474;
9.00477;1.27029;4.65533;
9.00478;1.27076;4.65725;
9.00479;1.27145;4.66048;
9.0048;1.27234;4.665;
9.00481;1.27343;4.67081;
9.00482;1.27472;4.67788;
9.00483;1.2762;4.68618;
9.00484;1.27787;4.69567;
9.00485;1.27972;4.70633;
9.00486;1.28174;4.7181;
9.00487;1.28393;4.73095;
9.00488;1.28628;4.74481;
9.00489;1.28877;4.75965;
9.0049;1.2914;4.77539;
9.00491;1.29416;4.79198;
9.00492;1.29704;4.80935;
9.00493;1.30002;4.82743;
9.00494;1.30309;4.84616;
9.00495;1.30624;4.86545;
9.00496;1.30947;4.88523;
9.00497;1.31275;4.90543;
9.00498;1.31607;4.92595;
9.00499;1.31942;4.94674;
9.005;1.32279;4.96769;
9.00501;1.32616;4.98872;
9.00502;1.32952;5.00976;
9.00503;1.33286;5.03073;
9.00504;1.33617;5.05153;
9.00505;1.33942;5.07208;
9.00506;1.34261;5.09231;
9.00507;1.34573;5.11214;
9.00508;1.34876;5.13148;
9.00509;1.35169;5.15027;
9.0051;1.35451;5.16841;
9.00511;1.3572;5.18586;
9.00512;1.35977;5.20253;
9.00513;1.36219;5.21835;
9.00514;1.36446;5.23328;
9.00515;1.36657;5.24725;
9.00516;1.36851;5.26019;
9.00517;1.37027;5.27207;
9.00518;1.37185;5.28284;
9.00519;1.37324;5.29245;
9.0052;1.37443;5.30087;
9.00521;1.37542;5.30805;
9.00522;1.37621;5.31399;
9.00523;1.37679;5.31864;
9.00524;1.37716;5.32199;
9.00525;1.37732;5.32404;
9.00526;1.37727;5.32476;
9.00527;1.377;5.32417;
9.00528;1.37653;5.32225;
9.00529;1.37584;5.31902;
9.0053;1.37495;5.3145;
9.00531;1.37386;5.30869;
9.00532;1.37257;5.30162;
9.00533;1.37109;5.29333;
9.00534;1.36942;5.28383;
9.00535;1.36756;5.27318;
9.00536;1.36554;5.2614;
9.00537;1.36335;5.24856;
9.00538;1.361;5.23469;
9.00539;1.35851;5.21985;
9.0054;1.35588;5.20411;
9.00541;1.35312;5.18752;
9.00542;1.35024;5.17015;
9.00543;1.34726;5.15207;
9.00544;1.34418;5.13334;
9.00545;1.34103;5.11405;
9.00546;1.33781;5.09427;
9.00547;1.33453;5.07407;
9.00548;1.3312;5.05355;
9.00549;1.32785;5.03277;
9.0055;1.32448;5.01182;
9.00551;1.32111;4.99078;
9.00552;1.31775;4.96974;
9.00553;1.31441;4.94878;
9.00554;1.3111;4.92797;
9.00555;1.30785;4.90742;
9.00556;1.30466;4.88719;
9.00557;1.30155;4.86736;
9.00558;1.29852;4.84802;
9.00559;1.29559;4.82924;
9.0056;1.29277;4.81109;
9.00561;1.29007;4.79364;
9.00562;1.28751;4.77698;
9.00563;1.28509;4.76115;
9.00564;1.28282;4.74622;
9.00565;1.28071;4.73226;
9.00566;1.27877;4.71931;
9.00567;1.27701;4.70743;
9.00568;1.27544;4.69666;
9.00569;1.27405;4.68705;
9.0057;1.27286;4.67863;
9.00571;1.27187;4.67145;
9.00572;1.27108;4.66552;
9.00573;1.2705;4.66086;
9.00574;1.27013;4.65751;
9.00575;1.26997;4.65546;
9.00576;1.27002;4.65474;
9.00577;1.27029;4.65533;
9.00578;1.27076;4.65725;
9.00579;1.27145;4.66048;
9.0058;1.27233;4.665;
9.00581;1.27343;4.67081;
9.00582;1.27472;4.67788;
9.00583;1.2762;4.68618;
9.00584;1.27787;4.69567;
9.00585;1.27972;4.70633;
9.00586;1.28174;4.7181;
9.00587;1.28393;4.73095;
9.00588;1.28628;4.74481;
9.00589;1.28877;4.75965;
9.0059;1.2914;4.77539;
9.00591;1.29416;4.79198;
9.00592;1.29703;4.80935;
9.00593;1.30001;4.82743;
9.00594;1.30309;4.84616;
9.00595;1.30624;4.86545;
9.00596;1.30946;4.88523;
9.00597;1.31274;4.90543;
9.00598;1.31607;4.92595;
9.00599;1.31942;4.94674;
9.006;1.32279;4.96769;
9.00601;1.32616;4.98872;
9.00602;1.32952;5.00976;
9.00603;1.33286;5.03073;
9.00604;1.33617;5.05153;
9.00605;1.33942;5.07208;
9.00606;1.34261;5.09231;
9.00607;1.34573;5.11214;
9.00608;1.34876;5.13148;
9.00609;1.35169;5.15027;
9.0061;1.3545;5.16841;
9.00611;1.3572;5.18586;
9.00612;1.35977;5.20253;
9.00613;1.36219;5.21835;
9.00614;1.36446;5.23328;
9.00615;1.36657;5.24725;
9.00616;1.36851;5.26019;
9.00617;1.37027;5.27207;
9.00618;1.37185;5.28284;
9.00619;1.37324;5.29245;
9.0062;1.37443;5.30087;
9.00621;1.37542;5.30805;
9.00622;1.37621;5.31399;
9.00623;1.37679;5.31864;
9.00624;1.37716;5.32199;
9.00625;1.37732;5.32404;
9.00626;1.37726;5.32476;
9.00627;1.377;5.32417;
9.00628;1.37652;5.32225;
9.00629;1.37584;5.31902;
9.0063;1.37495;5.3145;
9.00631;1.37386;5.30869;
9.00632;1.37257;5.30162;
9.00633;1.37108;5.29333;
9.00634;1.36941;5.28383;
9.00635;1.36756;5.27318;
9.00636;1.36554;5.2614;
9.00637;1.36335;5.24856;
9.00638;1.361;5.23469;
9.00639;1.35851;5.21985;
9.0064;1.35587;5.20411;
9.00641;1.35311;5.18752;
9.00642;1.35024;5.17015;
9.00643;1.34726;5.15207;
9.00644;1.34418;5.13334;
9.00645;1.34103;5.11405;
9.00646;1.3378;5.09427;
9.00647;1.33452;5.07407;
9.00648;1.3312;5.05355;
9.00649;1.32785;5.03277;
9.0065;1.32448;5.01182;
9.00651;1.32111;4.99078;
9.00652;1.31774;4.96974;
9.00653;1.31441;4.94878;
9.00654;1.3111;4.92797;
9.00655;1.30785;4.90742;
9.00656;1.30466;4.88719;
9.00657;1.30154;4.86736;
9.00658;1.29852;4.84802;
9.00659;1.29559;4.82924;
9.0066;1.29277;4.81109;
9.00661;1.29007;4.79364;
9.00662;1.28751;4.77698;
9.00663;1.28509;4.76115;
9.00664;1.28282;4.74622;
9.00665;1.28071;4.73226;
9.00666;1.27877;4.71931;
9.00667;1.27701;4.70743;
9.00668;1.27543;4.69666;
9.00669;1.27405;4.68705;
9.0067;1.27286;4.67863;
9.00671;1.27186;4.67145;
9.00672;1.27108;4.66552;
9.00673;1.2705;4.66086;
9.00674;1.27013;4.65751;
9.00675;1.26997;4.65546;
9.00676;1.27002;4.65474;
9.00677;1.27029;4.65533;
9.00678;1.27076;4.65725;
9.00679;1.27144;4.66048;
9.0068;1.27233;4.665;
9.00681;1.27342;4.67081;
