time;V(/OUT_N);V(/OUT_SINGLE);user1;
0.202737;1.19395;1.78993;-0.0045907;
0.202747;1.19366;1.78118;-0.0046945;
0.202757;1.19362;1.77515;-0.0047996;
0.202767;1.19382;1.77186;-0.00490558;
0.202777;1.19426;1.77132;-0.00501202;
0.202787;1.19495;1.77352;-0.00511851;
0.202797;1.19587;1.77847;-0.00522462;
0.202807;1.19703;1.78614;-0.00532995;
0.202817;1.19842;1.79651;-0.00543407;
0.202827;1.20004;1.80952;-0.00553657;
0.202837;1.20188;1.82514;-0.00563706;
0.202847;1.20393;1.84329;-0.00573514;
0.202857;1.20618;1.86392;-0.00583042;
0.202867;1.20863;1.88693;-0.00592253;
0.202877;1.21127;1.91224;-0.00601109;
0.202887;1.21408;1.93974;-0.00609577;
0.202897;1.21705;1.96934;-0.00617622;
0.202907;1.22018;2.0009;-0.00625212;
0.202917;1.22345;2.03432;-0.00632318;
0.202927;1.22684;2.06945;-0.0063891;
0.202937;1.23035;2.10616;-0.00644964;
0.202947;1.23396;2.1443;-0.00650454;
0.202957;1.23766;2.18372;-0.00655358;
0.202967;1.24142;2.22427;-0.00659658;
0.202977;1.24524;2.26579;-0.00663335;
0.202987;1.24911;2.30811;-0.00666375;
0.202997;1.253;2.35106;-0.00668766;
0.203007;1.2569;2.39448;-0.00670498;
0.203017;1.2608;2.4382;-0.00671564;
0.203027;1.26467;2.48203;-0.0067196;
0.203037;1.26851;2.52581;-0.00671684;
0.203047;1.2723;2.56937;-0.00670738;
0.203057;1.27602;2.61253;-0.00669124;
0.203067;1.27967;2.65512;-0.0066685;
0.203077;1.28322;2.69698;-0.00663925;
0.203087;1.28666;2.73793;-0.00660361;
0.203097;1.28997;2.77782;-0.0065617;
0.203107;1.29315;2.81648;-0.00651372;
0.203117;1.29619;2.85378;-0.00645984;
0.203127;1.29906;2.88955;-0.00640027;
0.203137;1.30176;2.92366;-0.00633527;
0.203147;1.30428;2.95597;-0.00626508;
0.203157;1.30661;2.98636;-0.00618999;
0.203167;1.30874;3.0147;-0.00611029;
0.203177;1.31065;3.04089;-0.00602629;
0.203187;1.31235;3.06483;-0.00593834;
0.203197;1.31383;3.08641;-0.00584677;
0.203207;1.31507;3.10555;-0.00575195;
0.203217;1.31609;3.12218;-0.00565424;
0.203227;1.31686;3.13623;-0.00555405;
0.203237;1.31739;3.14765;-0.00545175;
0.203247;1.31768;3.15639;-0.00534776;
0.203257;1.31772;3.16242;-0.00524247;
