time;user0;user1;
0.216631;-0.0147044;0.110797;
0.216641;-0.0155295;0.116996;
0.216651;-0.0162934;0.122734;
0.216661;-0.0169929;0.127987;
0.216671;-0.0176253;0.132735;
0.216681;-0.0181882;0.136958;
0.216691;-0.0186794;0.140642;
0.216701;-0.0190968;0.143771;
0.216711;-0.0194388;0.146332;
0.216721;-0.0197041;0.148316;
0.216731;-0.0198917;0.149716;
0.216741;-0.0200007;0.150524;
0.216751;-0.0200308;0.150739;
0.216761;-0.0199819;0.15036;
0.216771;-0.0198541;0.149388;
0.216781;-0.0196479;0.147826;
0.216791;-0.0193642;0.145681;
0.216801;-0.0190041;0.142962;
0.216811;-0.018569;0.139679;
0.216821;-0.0180606;0.135844;
0.216831;-0.0174809;0.131474;
0.216841;-0.0168323;0.126584;
0.216851;-0.0161172;0.121195;
0.216861;-0.0153385;0.115328;
0.216871;-0.0144992;0.109005;
0.216881;-0.0136028;0.102252;
0.216891;-0.0126526;0.0950945;
0.216901;-0.0116526;0.0875616;
0.216911;-0.0106065;0.0796828;
0.216921;-0.00951858;0.071489;
0.216931;-0.0083931;0.0630126;
0.216941;-0.00723449;0.0542872;
0.216951;-0.00604732;0.0453471;
0.216961;-0.00483629;0.0362276;
0.216971;-0.00360618;0.026965;
0.216981;-0.00236183;0.0175956;
0.216991;-0.00110817;0.0081567;
0.217001;0.000149876;-0.00131452;
0.217011;0.00140733;-0.0107806;
0.217021;0.00265922;-0.020204;
0.217031;0.00390062;-0.0295475;
0.217041;0.00512663;-0.0387742;
0.217051;0.0063324;-0.0478476;
0.217061;0.00751319;-0.0567319;
0.217071;0.00866432;-0.0653919;
0.217081;0.00978126;-0.0737934;
0.217091;0.0108596;-0.0819034;
0.217101;0.0118951;-0.0896896;
0.217111;0.0128836;-0.0971216;
0.217121;0.0138213;-0.10417;
0.217131;0.0147044;-0.110807;
0.217141;0.0155295;-0.117006;
0.217151;0.0162934;-0.122744;
0.217161;0.0169929;-0.127997;
0.217171;0.0176253;-0.132744;
0.217181;0.0181882;-0.136968;
0.217191;0.0186794;-0.140652;
0.217201;0.0190968;-0.14378;
0.217211;0.0194388;-0.146342;
0.217221;0.0197041;-0.148326;
0.217231;0.0198917;-0.149725;
0.217241;0.0200007;-0.150534;
0.217251;0.0200308;-0.150749;
0.217261;0.0199819;-0.15037;
0.217271;0.0198541;-0.149397;
0.217281;0.0196479;-0.147836;
0.217291;0.0193642;-0.145691;
0.217301;0.0190041;-0.142972;
0.217311;0.018569;-0.139688;
0.217321;0.0180606;-0.135854;
0.217331;0.0174809;-0.131483;
0.217341;0.0168323;-0.126594;
0.217351;0.0161172;-0.121205;
0.217361;0.0153385;-0.115338;
0.217371;0.0144992;-0.109015;
0.217381;0.0136028;-0.102261;
0.217391;0.0126526;-0.0951043;
0.217401;0.0116526;-0.0875714;
0.217411;0.0106065;-0.0796925;
0.217421;0.00951858;-0.0714987;
0.217431;0.00839309;-0.0630223;
0.217441;0.00723448;-0.0542969;
0.217451;0.00604732;-0.0453568;
0.217461;0.00483629;-0.0362374;
0.217471;0.00360618;-0.0269747;
0.217481;0.00236183;-0.0176053;
0.217491;0.00110816;-0.00816641;
0.217501;-0.000149878;0.00130481;
0.217511;-0.00140733;0.0107708;
0.217521;-0.00265922;0.0201943;
0.217531;-0.00390062;0.0295378;
0.217541;-0.00512663;0.0387645;
0.217551;-0.00633241;0.0478379;
0.217561;-0.00751319;0.0567222;
0.217571;-0.00866432;0.0653822;
0.217581;-0.00978126;0.0737837;
0.217591;-0.0108596;0.0818937;
0.217601;-0.0118951;0.0896799;
0.217611;-0.0128836;0.0971119;
0.217621;-0.0138213;0.10416;
0.217631;-0.0147044;0.110797;
0.217641;-0.0155295;0.116996;
0.217651;-0.0162934;0.122734;
0.217661;-0.0169929;0.127987;
0.217671;-0.0176253;0.132735;
0.217681;-0.0181882;0.136958;
0.217691;-0.0186794;0.140642;
0.217701;-0.0190968;0.143771;
0.217711;-0.0194388;0.146332;
0.217721;-0.0197041;0.148316;
0.217731;-0.0198917;0.149716;
0.217741;-0.0200007;0.150524;
0.217751;-0.0200308;0.150739;
0.217761;-0.0199819;0.15036;
0.217771;-0.0198541;0.149388;
0.217781;-0.0196479;0.147826;
0.217791;-0.0193642;0.145681;
0.217801;-0.0190041;0.142962;
0.217811;-0.018569;0.139679;
0.217821;-0.0180606;0.135844;
0.217831;-0.0174809;0.131474;
0.217841;-0.0168323;0.126584;
0.217851;-0.0161172;0.121195;
0.217861;-0.0153385;0.115328;
0.217871;-0.0144992;0.109005;
0.217881;-0.0136028;0.102252;
0.217891;-0.0126526;0.0950946;
0.217901;-0.0116526;0.0875617;
0.217911;-0.0106065;0.0796828;
0.217921;-0.00951858;0.071489;
0.217931;-0.0083931;0.0630127;
0.217941;-0.00723449;0.0542872;
0.217951;-0.00604732;0.0453471;
0.217961;-0.00483629;0.0362277;
0.217971;-0.00360618;0.026965;
0.217981;-0.00236183;0.0175957;
0.217991;-0.00110817;0.00815674;
0.218001;0.000149876;-0.00131448;
0.218011;0.00140733;-0.0107805;
0.218021;0.00265922;-0.0202039;
0.218031;0.00390062;-0.0295475;
0.218041;0.00512663;-0.0387742;
0.218051;0.0063324;-0.0478476;
0.218061;0.00751319;-0.0567319;
0.218071;0.00866432;-0.0653919;
0.218081;0.00978126;-0.0737934;
0.218091;0.0108596;-0.0819033;
0.218101;0.0118951;-0.0896896;
0.218111;0.0128836;-0.0971216;
0.218121;0.0138213;-0.10417;
0.218131;0.0147044;-0.110807;
0.218141;0.0155295;-0.117006;
0.218151;0.0162934;-0.122744;
0.218161;0.0169929;-0.127996;
0.218171;0.0176253;-0.132744;
0.218181;0.0181882;-0.136968;
0.218191;0.0186794;-0.140652;
0.218201;0.0190968;-0.14378;
0.218211;0.0194388;-0.146342;
0.218221;0.0197041;-0.148326;
0.218231;0.0198917;-0.149725;
0.218241;0.0200007;-0.150534;
0.218251;0.0200308;-0.150749;
0.218261;0.0199819;-0.15037;
0.218271;0.0198541;-0.149397;
0.218281;0.0196479;-0.147836;
0.218291;0.0193642;-0.145691;
0.218301;0.0190041;-0.142972;
0.218311;0.018569;-0.139688;
0.218321;0.0180606;-0.135854;
0.218331;0.0174809;-0.131483;
0.218341;0.0168323;-0.126594;
0.218351;0.0161172;-0.121205;
0.218361;0.0153385;-0.115338;
0.218371;0.0144992;-0.109015;
0.218381;0.0136028;-0.102261;
0.218391;0.0126526;-0.0951042;
0.218401;0.0116526;-0.0875713;
0.218411;0.0106065;-0.0796924;
0.218421;0.00951858;-0.0714986;
0.218431;0.00839309;-0.0630223;
0.218441;0.00723448;-0.0542968;
0.218451;0.00604732;-0.0453567;
0.218461;0.00483629;-0.0362373;
0.218471;0.00360618;-0.0269746;
0.218481;0.00236183;-0.0176053;
0.218491;0.00110816;-0.00816637;
0.218501;-0.000149878;0.00130484;
0.218511;-0.00140733;0.0107709;
0.218521;-0.00265922;0.0201943;
0.218531;-0.00390062;0.0295378;
0.218541;-0.00512663;0.0387646;
0.218551;-0.00633241;0.047838;
0.218561;-0.00751319;0.0567222;
0.218571;-0.00866432;0.0653822;
0.218581;-0.00978126;0.0737838;
0.218591;-0.0108596;0.0818937;
0.218601;-0.0118951;0.08968;
0.218611;-0.0128836;0.0971119;
0.218621;-0.0138213;0.10416;
0.218631;-0.0147044;0.110797;
0.218641;-0.0155295;0.116997;
0.218651;-0.0162934;0.122734;
0.218661;-0.0169929;0.127987;
0.218671;-0.0176253;0.132735;
0.218681;-0.0181882;0.136959;
0.218691;-0.0186794;0.140642;
0.218701;-0.0190968;0.143771;
0.218711;-0.0194388;0.146332;
0.218721;-0.0197041;0.148316;
0.218731;-0.0198917;0.149716;
0.218741;-0.0200007;0.150524;
0.218751;-0.0200308;0.150739;
