time;V(/OUT_N);V(/OUT_P);V(/OUT_SINGLE);V(/SE_IN+);
9.00151;2.09533;2.09616;7.49896;7.49058;
9.00152;2.09175;2.09259;7.47664;7.48701;
9.00153;2.0882;2.08904;7.45437;7.48345;
9.00154;2.08469;2.08551;7.43224;7.47994;
9.00155;2.08121;2.08203;7.41034;7.47647;
9.00156;2.07781;2.07861;7.38875;7.47306;
9.00157;2.07447;2.07526;7.36756;7.46972;
9.00158;2.07122;2.072;7.34685;7.46648;
9.00159;2.06808;2.06883;7.3267;7.46333;
9.0016;2.06504;2.06577;7.3072;7.4603;
9.00161;2.06213;2.06283;7.28842;7.45739;
9.00162;2.05936;2.06003;7.27043;7.45462;
9.00163;2.05674;2.05737;7.2533;7.45199;
9.00164;2.05427;2.05487;7.23711;7.44953;
9.00165;2.05197;2.05253;7.22192;7.44723;
9.00166;2.04985;2.05037;7.20778;7.4451;
9.00167;2.04791;2.04839;7.19476;7.44316;
9.00168;2.04616;2.0466;7.1829;7.44142;
9.00169;2.04461;2.04501;7.17225;7.43987;
9.0017;2.04327;2.04362;7.16285;7.43853;
9.00171;2.04214;2.04244;7.15474;7.4374;
9.00172;2.04123;2.04148;7.14795;7.43649;
9.00173;2.04053;2.04073;7.14251;7.43579;
9.00174;2.04006;2.0402;7.13844;7.43532;
9.00175;2.0398;2.0399;7.13576;7.43507;
9.00176;2.03978;2.03982;7.13447;7.43504;
9.00177;2.03997;2.03997;7.13459;7.43524;
9.00178;2.0404;2.04034;7.1361;7.43566;
9.00179;2.04104;2.04093;7.13901;7.4363;
9.0018;2.0419;2.04174;7.14331;7.43717;
9.00181;2.04298;2.04277;7.14897;7.43825;
9.00182;2.04427;2.04401;7.15598;7.43954;
9.00183;2.04577;2.04546;7.1643;7.44104;
9.00184;2.04747;2.04711;7.1739;7.44274;
9.00185;2.04936;2.04895;7.18476;7.44463;
9.00186;2.05144;2.05099;7.19681;7.44671;
9.00187;2.0537;2.0532;7.21002;7.44897;
9.00188;2.05613;2.05559;7.22434;7.4514;
9.00189;2.05872;2.05814;7.2397;7.45399;
9.0019;2.06145;2.06084;7.25604;7.45673;
9.00191;2.06433;2.06368;7.27331;7.4596;
9.00192;2.06734;2.06666;7.29144;7.46261;
9.00193;2.07046;2.06975;7.31034;7.46573;
9.00194;2.07368;2.07295;7.32996;7.46895;
9.00195;2.077;2.07624;7.3502;7.47227;
9.00196;2.08039;2.07961;7.37099;7.47566;
9.00197;2.08385;2.08305;7.39226;7.47912;
9.00198;2.08735;2.08654;7.4139;7.48263;
9.00199;2.0909;2.09008;7.43585;7.48617;
9.002;2.09447;2.09364;7.45801;7.48974;
9.00201;2.09804;2.09721;7.48029;7.49331;
9.00202;2.10161;2.10078;7.50261;7.49689;
9.00203;2.10516;2.10433;7.52488;7.50044;
9.00204;2.10868;2.10786;7.54701;7.50396;
9.00205;2.11215;2.11133;7.56891;7.50743;
9.00206;2.11556;2.11476;7.5905;7.51084;
9.00207;2.1189;2.11811;7.61169;7.51417;
9.00208;2.12215;2.12137;7.6324;7.51742;
9.00209;2.12529;2.12454;7.65255;7.52056;
9.0021;2.12833;2.1276;7.67205;7.5236;
9.00211;2.13124;2.13054;7.69083;7.52651;
9.00212;2.13401;2.13334;7.70882;7.52928;
9.00213;2.13663;2.136;7.72595;7.53191;
9.00214;2.1391;2.1385;7.74214;7.53437;
9.00215;2.1414;2.14084;7.75733;7.53667;
9.00216;2.14353;2.143;7.77147;7.5388;
9.00217;2.14547;2.14498;7.78449;7.54074;
9.00218;2.14721;2.14677;7.79636;7.54248;
9.00219;2.14876;2.14836;7.80701;7.54403;
9.0022;2.1501;2.14975;7.8164;7.54537;
9.00221;2.15123;2.15093;7.82451;7.5465;
9.00222;2.15215;2.1519;7.8313;7.54741;
9.00223;2.15284;2.15264;7.83674;7.54811;
9.00224;2.15332;2.15317;7.84081;7.54859;
9.00225;2.15357;2.15347;7.84349;7.54884;
9.00226;2.1536;2.15355;7.84478;7.54886;
9.00227;2.1534;2.15341;7.84466;7.54866;
9.00228;2.15298;2.15304;7.84315;7.54824;
9.00229;2.15233;2.15245;7.84024;7.5476;
9.0023;2.15147;2.15164;7.83594;7.54673;
9.00231;2.15039;2.15061;7.83028;7.54565;
9.00232;2.1491;2.14937;7.82328;7.54436;
9.00233;2.1476;2.14792;7.81495;7.54286;
9.00234;2.1459;2.14627;7.80535;7.54116;
9.00235;2.14401;2.14442;7.7945;7.53927;
9.00236;2.14193;2.14238;7.78244;7.53719;
9.00237;2.13967;2.14017;7.76923;7.53493;
9.00238;2.13724;2.13778;7.75492;7.5325;
9.00239;2.13465;2.13523;7.73955;7.52991;
9.0024;2.13191;2.13253;7.72321;7.52717;
9.00241;2.12904;2.12968;7.70594;7.5243;
9.00242;2.12603;2.12671;7.68781;7.52129;
9.00243;2.12291;2.12362;7.66891;7.51817;
9.00244;2.11969;2.12042;7.64929;7.51495;
9.00245;2.11637;2.11713;7.62905;7.51163;
9.00246;2.11298;2.11376;7.60826;7.50824;
9.00247;2.10952;2.11032;7.58699;7.50478;
9.00248;2.10601;2.10682;7.56535;7.50127;
9.00249;2.10247;2.10329;7.5434;7.49773;
9.0025;2.0989;2.09973;7.52124;7.49416;
9.00251;2.09532;2.09616;7.49896;7.49058;
9.00252;2.09175;2.09259;7.47664;7.48701;
9.00253;2.0882;2.08903;7.45437;7.48346;
9.00254;2.08468;2.08551;7.43224;7.47994;
9.00255;2.08121;2.08203;7.41034;7.47647;
9.00256;2.0778;2.07861;7.38875;7.47306;
9.00257;2.07447;2.07526;7.36756;7.46973;
