time;V(/IN);user0;
0.102819;-0.0906214;-0.276222;
0.102829;-0.0877877;-0.265211;
0.102839;-0.0846075;-0.252803;
0.102849;-0.0810934;-0.239044;
0.102859;-0.0772593;-0.22399;
0.102869;-0.0731202;-0.207701;
0.102879;-0.0686926;-0.190239;
0.102889;-0.0639939;-0.171675;
0.102899;-0.0590426;-0.152081;
0.102909;-0.0538584;-0.131535;
0.102919;-0.0484615;-0.110118;
0.102929;-0.0428735;-0.087915;
0.102939;-0.0371162;-0.0650125;
0.102949;-0.0312124;-0.0415015;
0.102959;-0.0251855;-0.0174747;
0.102969;-0.0190591;0.00697301;
0.102979;-0.0128575;0.0317452;
0.102989;-0.00660524;0.0567441;
0.102999;-0.000326863;0.081871;
0.103009;0.0059528;0.107027;
0.103019;0.012209;0.132112;
0.103029;0.018417;0.157028;
0.103039;0.0245523;0.181676;
0.103049;0.0305907;0.205959;
0.103059;0.0365083;0.229782;
0.103069;0.0422819;0.253049;
0.103079;0.0478887;0.27567;
0.103089;0.0533064;0.297555;
0.103099;0.0585138;0.318617;
0.103109;0.0634902;0.338774;
0.103119;0.0682161;0.357946;
0.103129;0.0726727;0.376058;
0.103139;0.0768426;0.393037;
0.103149;0.0807091;0.408817;
0.103159;0.0842572;0.423336;
0.103169;0.0874727;0.436535;
0.103179;0.0903431;0.448364;
0.103189;0.0928568;0.458776;
0.103199;0.0950041;0.467729;
0.103209;0.0967765;0.475188;
0.103219;0.098167;0.481123;
0.103229;0.09917;0.485512;
0.103239;0.0997816;0.488337;
0.103249;0.0999995;0.489586;
0.103259;0.0998227;0.489256;
0.103269;0.0992519;0.487346;
0.103279;0.0982894;0.483865;
0.103289;0.0969391;0.478826;
0.103299;0.0952061;0.47225;
0.103309;0.0930975;0.464162;
0.103319;0.0906214;0.454594;
0.103329;0.0877877;0.443584;
0.103339;0.0846075;0.431175;
0.103349;0.0810934;0.417416;
0.103359;0.0772593;0.402363;
0.103369;0.0731202;0.386073;
0.103379;0.0686926;0.368611;
0.103389;0.0639939;0.350047;
0.103399;0.0590426;0.330453;
0.103409;0.0538584;0.309908;
0.103419;0.0484615;0.288491;
0.103429;0.0428735;0.266287;
0.103439;0.0371162;0.243385;
0.103449;0.0312124;0.219874;
0.103459;0.0251855;0.195847;
0.103469;0.0190591;0.171399;
0.103479;0.0128575;0.146627;
0.103489;0.00660524;0.121628;
0.103499;0.000326863;0.0965012;
0.103509;-0.0059528;0.0713454;
0.103519;-0.012209;0.0462601;
0.103529;-0.018417;0.0213441;
0.103539;-0.0245523;-0.00330411;
0.103549;-0.0305907;-0.0275873;
0.103559;-0.0365083;-0.0514097;
0.103569;-0.0422819;-0.0746771;
0.103579;-0.0478887;-0.0972979;
0.103589;-0.0533064;-0.119183;
0.103599;-0.0585138;-0.140245;
0.103609;-0.0634902;-0.160402;
0.103619;-0.0682161;-0.179574;
0.103629;-0.0726727;-0.197686;
0.103639;-0.0768426;-0.214665;
0.103649;-0.0807091;-0.230445;
0.103659;-0.0842572;-0.244963;
0.103669;-0.0874727;-0.258163;
0.103679;-0.0903431;-0.269992;
0.103689;-0.0928568;-0.280404;
0.103699;-0.0950041;-0.289357;
0.103709;-0.0967765;-0.296816;
0.103719;-0.098167;-0.302751;
0.103729;-0.09917;-0.30714;
0.103739;-0.0997816;-0.309965;
0.103749;-0.0999995;-0.311214;
0.103759;-0.0998227;-0.310883;
0.103769;-0.0992519;-0.308974;
0.103779;-0.0982894;-0.305493;
0.103789;-0.0969391;-0.300454;
0.103799;-0.0952061;-0.293878;
0.103809;-0.0930975;-0.28579;
0.103819;-0.0906214;-0.276222;
0.103829;-0.0877877;-0.265211;
0.103839;-0.0846075;-0.252803;
0.103849;-0.0810934;-0.239044;
0.103859;-0.0772593;-0.22399;
0.103869;-0.0731202;-0.207701;
0.103879;-0.0686926;-0.190239;
0.103889;-0.0639939;-0.171675;
0.103899;-0.0590426;-0.152081;
