time;V(/OUT_SINGLE);user0;user1;
0.917036;2.38854;0.00445266;-0.0321843;
0.917046;2.36221;0.00567018;-0.0409354;
0.917056;2.33634;0.00686533;-0.0495247;
0.917066;2.31105;0.00803338;-0.0579181;
0.917076;2.28641;0.00916973;-0.0660826;
0.917086;2.26255;0.0102699;-0.0739859;
0.917096;2.23954;0.0113295;-0.0815968;
0.917106;2.21748;0.0123444;-0.0888854;
0.917116;2.19645;0.0133106;-0.0958227;
0.917126;2.17655;0.0142243;-0.102382;
0.917136;2.15784;0.0150818;-0.108536;
0.917146;2.14041;0.0158798;-0.114262;
0.917156;2.12431;0.0166152;-0.119537;
0.917166;2.10962;0.0172849;-0.12434;
0.917176;2.09638;0.0178865;-0.128652;
0.917186;2.08466;0.0184174;-0.132457;
0.917196;2.0745;0.0188757;-0.135739;
0.917206;2.06594;0.0192595;-0.138486;
0.917216;2.05901;0.0195673;-0.140686;
0.917226;2.05374;0.0197978;-0.142331;
0.917236;2.05015;0.0199502;-0.143415;
0.917246;2.04826;0.0200239;-0.143934;
0.917256;2.04806;0.0200186;-0.143884;
0.917266;2.04957;0.0199342;-0.143268;
0.917276;2.05277;0.0197712;-0.142086;
0.917286;2.05766;0.0195302;-0.140344;
0.917296;2.06422;0.019212;-0.138048;
0.917306;2.07241;0.0188181;-0.135208;
0.917316;2.08221;0.0183499;-0.131834;
0.917326;2.09358;0.0178093;-0.127941;
0.917336;2.10647;0.0171983;-0.123542;
0.917346;2.12084;0.0165196;-0.118656;
0.917356;2.13662;0.0157756;-0.113301;
0.917366;2.15375;0.0149693;-0.107499;
0.917376;2.17218;0.014104;-0.101273;
0.917386;2.19182;0.013183;-0.0946464;
0.917396;2.21259;0.01221;-0.0876462;
0.917406;2.23442;0.0111888;-0.0802997;
0.917416;2.25722;0.0101235;-0.0726359;
0.917426;2.2809;0.00901817;-0.064685;
0.917436;2.30537;0.00787727;-0.0564785;
0.917446;2.33053;0.00670528;-0.0480487;
0.917456;2.35627;0.00550684;-0.0394289;
0.917466;2.3825;0.00428666;-0.0306533;
0.917476;2.40912;0.00304956;-0.0217564;
0.917486;2.43602;0.00180042;-0.0127735;
0.917496;2.46309;0.000544186;-0.00374002;
0.917506;2.49023;-0.000714201;0.0053082;
0.917516;2.51732;-0.00196977;0.0143354;
0.917526;2.54427;-0.00321756;0.023306;
0.917536;2.57096;-0.00445266;0.0321843;
0.917546;2.59729;-0.00567018;0.0409355;
0.917556;2.62315;-0.00686533;0.0495247;
0.917566;2.64845;-0.00803338;0.0579182;
0.917576;2.67308;-0.00916973;0.0660827;
0.917586;2.69695;-0.0102699;0.073986;
0.917596;2.71996;-0.0113295;0.0815969;
0.917606;2.74202;-0.0123444;0.0888854;
0.917616;2.76304;-0.0133106;0.0958228;
0.917626;2.78295;-0.0142243;0.102382;
