time;V(/OUT_N);V(/OUT_P);user1;
0.103597;0.926541;1.00939;0.0828527;
0.103607;0.922927;1.01301;0.0900832;
0.103617;0.919491;1.01645;0.0969579;
0.103627;0.916247;1.0197;0.103449;
0.103637;0.913206;1.02274;0.109533;
0.103647;0.910383;1.02557;0.115183;
0.103657;0.907786;1.02816;0.120379;
0.103667;0.905427;1.03053;0.125099;
0.103677;0.903315;1.03264;0.129326;
0.103687;0.901458;1.0345;0.133042;
0.103697;0.899863;1.0361;0.136234;
0.103707;0.898537;1.03742;0.138888;
0.103717;0.897484;1.03848;0.140994;
0.103727;0.89671;1.03925;0.142544;
0.103737;0.896216;1.03975;0.143532;
0.103747;0.896006;1.03996;0.143953;
0.103757;0.896079;1.03989;0.143807;
0.103767;0.896435;1.03953;0.143094;
0.103777;0.897074;1.03889;0.141816;
0.103787;0.897992;1.03797;0.139979;
0.103797;0.899186;1.03678;0.137589;
0.103807;0.900651;1.03531;0.134657;
0.103817;0.902382;1.03358;0.131194;
0.103827;0.904372;1.03158;0.127213;
0.103837;0.906612;1.02934;0.122729;
0.103847;0.909095;1.02686;0.117762;
0.103857;0.91181;1.02414;0.112329;
0.103867;0.914746;1.0212;0.106453;
0.103877;0.917893;1.01805;0.100157;
0.103887;0.921238;1.0147;0.0934646;
0.103897;0.924768;1.01117;0.0864032;
0.103907;0.928468;1.00747;0.0790004;
0.103917;0.932324;1.00361;0.0712855;
0.103927;0.936321;0.99961;0.0632887;
0.103937;0.940444;0.995486;0.0550417;
0.103947;0.944675;0.991253;0.0465771;
0.103957;0.948999;0.986927;0.0379283;
0.103967;0.953398;0.982528;0.0291294;
0.103977;0.957855;0.97807;0.0202154;
0.103987;0.962351;0.973573;0.0112213;
0.103997;0.966871;0.969053;0.0021828;
0.104007;0.971394;0.96453;-0.00686437;
0.104017;0.975905;0.96002;-0.0158844;
0.104027;0.980384;0.955542;-0.0248417;
0.104037;0.984814;0.951113;-0.0337009;
0.104047;0.989177;0.946751;-0.0424268;
0.104057;0.993457;0.942472;-0.050985;
0.104067;0.997637;0.938295;-0.0593417;
0.104077;1.0017;0.934235;-0.0674638;
0.104087;1.00563;0.930309;-0.0753194;
0.104097;1.00941;0.926531;-0.0828773;
0.104107;1.01302;0.922917;-0.0901079;
0.104117;1.01646;0.919481;-0.0969825;
0.104127;1.01971;0.916236;-0.103474;
0.104137;1.02275;0.913196;-0.109557;
0.104147;1.02558;0.910372;-0.115208;
0.104157;1.02818;0.907776;-0.120403;
0.104167;1.03054;0.905417;-0.125124;
0.104177;1.03266;0.903305;-0.129351;
0.104187;1.03451;0.901447;-0.133067;
0.104197;1.03611;0.899853;-0.136259;
0.104207;1.03744;0.898526;-0.138913;
0.104217;1.03849;0.897474;-0.141019;
0.104227;1.03927;0.896699;-0.142569;
0.104237;1.03976;0.896206;-0.143556;
0.104247;1.03997;0.895995;-0.143978;
0.104257;1.0399;0.896068;-0.143832;
0.104267;1.03954;0.896425;-0.143118;
0.104277;1.0389;0.897063;-0.14184;
0.104287;1.03798;0.897982;-0.140003;
0.104297;1.03679;0.899176;-0.137614;
0.104307;1.03532;0.900641;-0.134682;
0.104317;1.03359;0.902372;-0.131218;
0.104327;1.0316;0.904361;-0.127237;
0.104337;1.02936;0.906602;-0.122754;
0.104347;1.02687;0.909084;-0.117786;
0.104357;1.02415;0.911799;-0.112354;
0.104367;1.02121;0.914736;-0.106478;
0.104377;1.01806;0.917883;-0.100181;
0.104387;1.01472;0.921228;-0.0934891;
0.104397;1.01119;0.924757;-0.0864278;
0.104407;1.00748;0.928458;-0.079025;
0.104417;1.00362;0.932314;-0.07131;
0.104427;0.999625;0.936311;-0.0633133;
0.104437;0.9955;0.940434;-0.0550663;
0.104447;0.991267;0.944665;-0.0466017;
0.104457;0.986942;0.948989;-0.0379529;
0.104467;0.982542;0.953388;-0.029154;
0.104477;0.978084;0.957845;-0.0202399;
0.104487;0.973587;0.962341;-0.0112459;
0.104497;0.969068;0.96686;-0.00220738;
0.104507;0.964544;0.971384;0.00683979;
0.104517;0.960035;0.975894;0.0158599;
0.104527;0.955556;0.980373;0.0248172;
0.104537;0.951127;0.984804;0.0336763;
0.104547;0.946765;0.989167;0.0424022;
0.104557;0.942487;0.993447;0.0509604;
0.104567;0.938309;0.997627;0.0593171;
0.104577;0.934249;1.00169;0.0674393;
0.104587;0.930323;1.00562;0.0752948;
0.104597;0.926545;1.0094;0.0828528;
0.104607;0.922931;1.01301;0.0900833;
0.104617;0.919495;1.01645;0.096958;
0.104627;0.916251;1.0197;0.10345;
0.104637;0.913211;1.02274;0.109533;
