time;V(/OUT_N);V(/OUT_SINGLE);
9.00361;0.981168;2.29733;
9.00362;0.978763;2.28167;
9.00363;0.976497;2.26683;
9.00364;0.974379;2.25286;
9.00365;0.972418;2.23984;
9.00366;0.970622;2.2278;
9.00367;0.968996;2.21679;
9.00368;0.967548;2.20687;
9.00369;0.966284;2.19806;
9.0037;0.965207;2.1904;
9.00371;0.964324;2.18392;
9.00372;0.963636;2.17865;
9.00373;0.963147;2.17461;
9.00374;0.962858;2.17181;
9.00375;0.962771;2.17027;
9.00376;0.962887;2.16998;
9.00377;0.963204;2.17096;
9.00378;0.963721;2.17319;
9.00379;0.964436;2.17668;
9.0038;0.965348;2.1814;
9.00381;0.966451;2.18733;
9.00382;0.967741;2.19446;
9.00383;0.969215;2.20276;
9.00384;0.970865;2.21219;
9.00385;0.972685;2.22271;
9.00386;0.974669;2.23429;
9.00387;0.976808;2.24688;
9.00388;0.979094;2.26043;
9.00389;0.981518;2.27488;
9.0039;0.98407;2.29018;
9.00391;0.986741;2.30627;
9.00392;0.98952;2.32309;
9.00393;0.992396;2.34057;
9.00394;0.995357;2.35863;
9.00395;0.998392;2.37722;
9.00396;1.00149;2.39625;
9.00397;1.00464;2.41565;
9.00398;1.00782;2.43534;
9.00399;1.01103;2.45525;
9.004;1.01425;2.4753;
9.00401;1.01747;2.4954;
9.00402;1.02067;2.51548;
9.00403;1.02385;2.53547;
9.00404;1.027;2.55527;
9.00405;1.03009;2.57481;
9.00406;1.03311;2.59402;
9.00407;1.03606;2.61281;
9.00408;1.03893;2.63112;
9.00409;1.04169;2.64887;
9.0041;1.04435;2.66599;
9.00411;1.04689;2.68242;
9.00412;1.04929;2.69808;
9.00413;1.05156;2.71293;
9.00414;1.05368;2.72689;
9.00415;1.05564;2.73991;
9.00416;1.05744;2.75195;
9.00417;1.05907;2.76296;
9.00418;1.06052;2.77288;
9.00419;1.06178;2.78169;
9.0042;1.06286;2.78935;
9.00421;1.06375;2.79583;
9.00422;1.06443;2.8011;
9.00423;1.06492;2.80514;
9.00424;1.06521;2.80794;
9.00425;1.0653;2.80949;
9.00426;1.06518;2.80977;
9.00427;1.06487;2.80879;
9.00428;1.06435;2.80656;
9.00429;1.06363;2.80307;
9.0043;1.06272;2.79835;
9.00431;1.06162;2.79242;
9.00432;1.06032;2.78529;
9.00433;1.05885;2.77699;
9.00434;1.0572;2.76756;
9.00435;1.05538;2.75704;
9.00436;1.05339;2.74546;
9.00437;1.05125;2.73287;
9.00438;1.04896;2.71932;
9.00439;1.04654;2.70487;
9.0044;1.04398;2.68957;
9.00441;1.04131;2.67348;
9.00442;1.03853;2.65666;
9.00443;1.03565;2.63918;
9.00444;1.03269;2.62112;
9.00445;1.02965;2.60253;
9.00446;1.02655;2.5835;
9.00447;1.02341;2.5641;
9.00448;1.02022;2.54441;
9.00449;1.01701;2.5245;
9.0045;1.01379;2.50445;
9.00451;1.01057;2.48435;
9.00452;1.00737;2.46427;
9.00453;1.00419;2.44429;
9.00454;1.00105;2.42448;
9.00455;0.997959;2.40494;
9.00456;0.994934;2.38574;
9.00457;0.991984;2.36694;
9.00458;0.989121;2.34863;
9.00459;0.986357;2.33088;
9.0046;0.983702;2.31376;
9.00461;0.981167;2.29733;
9.00462;0.978762;2.28167;
9.00463;0.976496;2.26683;
9.00464;0.974379;2.25286;
9.00465;0.972418;2.23984;
9.00466;0.970621;2.2278;
9.00467;0.968995;2.21679;
9.00468;0.967547;2.20687;
9.00469;0.966283;2.19806;
9.0047;0.965207;2.1904;
9.00471;0.964323;2.18392;
9.00472;0.963635;2.17865;
9.00473;0.963146;2.17461;
9.00474;0.962858;2.17181;
9.00475;0.962771;2.17027;
9.00476;0.962886;2.16998;
9.00477;0.963203;2.17096;
9.00478;0.96372;2.17319;
9.00479;0.964436;2.17668;
9.0048;0.965347;2.1814;
9.00481;0.96645;2.18733;
9.00482;0.967741;2.19446;
9.00483;0.969214;2.20276;
9.00484;0.970864;2.21219;
9.00485;0.972685;2.22271;
9.00486;0.974668;2.23429;
9.00487;0.976807;2.24688;
9.00488;0.979093;2.26043;
9.00489;0.981517;2.27488;
9.0049;0.98407;2.29018;
9.00491;0.98674;2.30627;
9.00492;0.989519;2.32309;
9.00493;0.992395;2.34057;
9.00494;0.995356;2.35863;
9.00495;0.998391;2.37722;
9.00496;1.00149;2.39625;
9.00497;1.00463;2.41565;
9.00498;1.00782;2.43534;
9.00499;1.01103;2.45525;
9.005;1.01425;2.4753;
9.00501;1.01747;2.4954;
9.00502;1.02067;2.51548;
9.00503;1.02385;2.53547;
9.00504;1.02699;2.55527;
9.00505;1.03008;2.57481;
9.00506;1.03311;2.59402;
9.00507;1.03606;2.61281;
9.00508;1.03893;2.63112;
9.00509;1.04169;2.64887;
9.0051;1.04435;2.66599;
9.00511;1.04689;2.68242;
9.00512;1.04929;2.69808;
9.00513;1.05156;2.71293;
9.00514;1.05368;2.72689;
9.00515;1.05564;2.73991;
9.00516;1.05744;2.75195;
9.00517;1.05907;2.76296;
9.00518;1.06052;2.77288;
9.00519;1.06178;2.78169;
9.0052;1.06286;2.78935;
9.00521;1.06375;2.79583;
9.00522;1.06443;2.8011;
9.00523;1.06492;2.80514;
9.00524;1.06521;2.80794;
9.00525;1.0653;2.80949;
9.00526;1.06518;2.80977;
9.00527;1.06487;2.80879;
9.00528;1.06435;2.80656;
