time;V(/OUT_N);V(/OUT_SINGLE);
9.00305;0.42849;2.53808;
9.00306;0.43027;2.5493;
9.00307;0.432008;2.56028;
9.00308;0.433699;2.57099;
9.00309;0.435334;2.58137;
9.0031;0.436908;2.59138;
9.00311;0.438414;2.601;
9.00312;0.439846;2.61017;
9.00313;0.441199;2.61887;
9.00314;0.442467;2.62705;
9.00315;0.443646;2.63469;
9.00316;0.444731;2.64176;
9.00317;0.445717;2.64823;
9.00318;0.4466;2.65407;
9.00319;0.447378;2.65927;
9.0032;0.448048;2.66379;
9.00321;0.448605;2.66764;
9.00322;0.44905;2.67078;
9.00323;0.449378;2.67321;
9.00324;0.449591;2.67492;
9.00325;0.449686;2.6759;
9.00326;0.449663;2.67615;
9.00327;0.449523;2.67567;
9.00328;0.449266;2.67446;
9.00329;0.448892;2.67252;
9.0033;0.448404;2.66986;
9.00331;0.447803;2.66649;
9.00332;0.447092;2.66243;
9.00333;0.446273;2.65769;
9.00334;0.44535;2.65229;
9.00335;0.444326;2.64624;
9.00336;0.443205;2.63958;
9.00337;0.441991;2.63233;
9.00338;0.44069;2.62451;
9.00339;0.439306;2.61616;
9.0034;0.437845;2.60731;
9.00341;0.436313;2.598;
9.00342;0.434715;2.58825;
9.00343;0.433058;2.57811;
9.00344;0.431349;2.56763;
9.00345;0.429594;2.55683;
9.00346;0.427801;2.54577;
9.00347;0.425976;2.53448;
9.00348;0.424126;2.52302;
9.00349;0.422261;2.51142;
9.0035;0.420386;2.49974;
9.00351;0.418509;2.48802;
9.00352;0.416638;2.4763;
9.00353;0.414779;2.46464;
9.00354;0.412942;2.45309;
9.00355;0.411131;2.44167;
9.00356;0.409356;2.43045;
9.00357;0.407623;2.41947;
9.00358;0.405938;2.40877;
9.00359;0.404309;2.39839;
9.0036;0.402742;2.38837;
9.00361;0.401243;2.37875;
9.00362;0.399817;2.36958;
9.00363;0.398471;2.36089;
9.00364;0.397209;2.3527;
9.00365;0.396037;2.34506;
9.00366;0.394959;2.33799;
9.00367;0.393979;2.33152;
9.00368;0.393101;2.32568;
9.00369;0.392327;2.32048;
9.0037;0.391662;2.31596;
9.00371;0.391108;2.31211;
9.00372;0.390667;2.30897;
9.00373;0.390339;2.30654;
9.00374;0.390128;2.30483;
9.00375;0.390033;2.30385;
9.00376;0.390055;2.3036;
9.00377;0.390194;2.30408;
9.00378;0.390449;2.30529;
9.00379;0.390819;2.30723;
9.0038;0.391303;2.30989;
9.00381;0.391899;2.31325;
9.00382;0.392605;2.31732;
9.00383;0.393418;2.32206;
9.00384;0.394335;2.32746;
9.00385;0.395353;2.3335;
9.00386;0.396468;2.34017;
9.00387;0.397674;2.34742;
9.00388;0.398969;2.35524;
9.00389;0.400346;2.36359;
9.0039;0.4018;2.37244;
9.00391;0.403326;2.38176;
9.00392;0.404918;2.3915;
9.00393;0.406569;2.40164;
9.00394;0.408273;2.41213;
9.00395;0.410024;2.42292;
9.00396;0.411814;2.43399;
9.00397;0.413636;2.44527;
9.00398;0.415483;2.45674;
9.00399;0.417348;2.46833;
9.004;0.419223;2.48002;
9.00401;0.421099;2.49173;
9.00402;0.422972;2.50345;
9.00403;0.424833;2.51511;
9.00404;0.426675;2.52667;
9.00405;0.428489;2.53808;
9.00406;0.430269;2.5493;
9.00407;0.432007;2.56028;
9.00408;0.433698;2.57099;
9.00409;0.435333;2.58137;
9.0041;0.436907;2.59138;
9.00411;0.438413;2.601;
9.00412;0.439845;2.61017;
9.00413;0.441198;2.61887;
9.00414;0.442466;2.62705;
9.00415;0.443645;2.63469;
9.00416;0.44473;2.64176;
9.00417;0.445716;2.64823;
9.00418;0.446599;2.65407;
9.00419;0.447377;2.65927;
9.0042;0.448047;2.66379;
9.00421;0.448604;2.66764;
9.00422;0.449049;2.67078;
9.00423;0.449377;2.67321;
9.00424;0.44959;2.67492;
9.00425;0.449685;2.6759;
9.00426;0.449662;2.67615;
9.00427;0.449522;2.67567;
9.00428;0.449265;2.67446;
9.00429;0.448891;2.67252;
9.0043;0.448403;2.66986;
9.00431;0.447802;2.66649;
9.00432;0.447091;2.66243;
9.00433;0.446272;2.65769;
9.00434;0.445349;2.65229;
9.00435;0.444325;2.64624;
9.00436;0.443204;2.63958;
9.00437;0.44199;2.63233;
9.00438;0.440689;2.62451;
9.00439;0.439305;2.61616;
9.0044;0.437844;2.60731;
9.00441;0.436312;2.598;
9.00442;0.434714;2.58825;
9.00443;0.433057;2.57811;
9.00444;0.431348;2.56763;
9.00445;0.429593;2.55683;
9.00446;0.4278;2.54577;
9.00447;0.425975;2.53448;
9.00448;0.424125;2.52302;
9.00449;0.42226;2.51142;
9.0045;0.420385;2.49974;
9.00451;0.418508;2.48802;
9.00452;0.416637;2.4763;
9.00453;0.414778;2.46464;
9.00454;0.412941;2.45309;
9.00455;0.41113;2.44167;
9.00456;0.409355;2.43045;
9.00457;0.407622;2.41947;
9.00458;0.405937;2.40877;
9.00459;0.404308;2.39839;
9.0046;0.402741;2.38837;
9.00461;0.401242;2.37875;
9.00462;0.399816;2.36958;
9.00463;0.39847;2.36089;
9.00464;0.397208;2.3527;
9.00465;0.396036;2.34506;
9.00466;0.394958;2.33799;
9.00467;0.393978;2.33152;
9.00468;0.3931;2.32568;
9.00469;0.392326;2.32048;
9.0047;0.391661;2.31596;
9.00471;0.391107;2.31211;
9.00472;0.390666;2.30897;
9.00473;0.390338;2.30654;
9.00474;0.390127;2.30483;
9.00475;0.390032;2.30385;
9.00476;0.390054;2.3036;
9.00477;0.390193;2.30408;
9.00478;0.390448;2.30529;
9.00479;0.390818;2.30723;
9.0048;0.391302;2.30989;
9.00481;0.391898;2.31325;
9.00482;0.392604;2.31732;
9.00483;0.393417;2.32206;
9.00484;0.394334;2.32746;
9.00485;0.395352;2.3335;
9.00486;0.396467;2.34017;
9.00487;0.397673;2.34742;
9.00488;0.398968;2.35524;
9.00489;0.400345;2.36359;
9.0049;0.401799;2.37244;
9.00491;0.403325;2.38176;
9.00492;0.404917;2.3915;
9.00493;0.406568;2.40164;
9.00494;0.408272;2.41213;
9.00495;0.410023;2.42292;
9.00496;0.411813;2.43399;
9.00497;0.413635;2.44527;
9.00498;0.415482;2.45674;
9.00499;0.417347;2.46833;
9.005;0.419222;2.48002;
9.00501;0.421098;2.49173;
