time;V(/OUT_N);V(/OUT_P);V(/OUT_SINGLE);V(/Vmid);
9.0023;0.596295;0.596428;2.75777;2.5;
9.00231;0.59543;0.595604;2.75322;2.5;
9.00232;0.594403;0.594614;2.74762;2.5;
9.00233;0.593215;0.593465;2.74102;2.5;
9.00234;0.591872;0.592159;2.73342;2.5;
9.00235;0.59038;0.590702;2.72486;2.5;
9.00236;0.588743;0.5891;2.71537;2.5;
9.00237;0.586968;0.587359;2.70499;2.5;
9.00238;0.585063;0.585486;2.69377;2.5;
9.00239;0.583035;0.583487;2.68173;2.5;
9.0024;0.580891;0.581372;2.66894;2.5;
9.00241;0.578641;0.579148;2.65544;2.5;
9.00242;0.576293;0.576824;2.64128;2.5;
9.00243;0.573856;0.574409;2.62652;2.5;
9.00244;0.57134;0.571913;2.61122;2.5;
9.00245;0.568755;0.569346;2.59543;2.5;
9.00246;0.566111;0.566718;2.57923;2.5;
9.00247;0.563419;0.564039;2.56267;2.5;
9.00248;0.560689;0.56132;2.54582;2.5;
9.00249;0.557933;0.558571;2.52876;2.5;
9.0025;0.55516;0.555805;2.51153;2.5;
9.00251;0.552384;0.553031;2.49422;2.5;
9.00252;0.549613;0.550261;2.47689;2.5;
9.00253;0.54686;0.547506;2.45962;2.5;
9.00254;0.544135;0.544776;2.44246;2.5;
9.00255;0.541449;0.542083;2.42549;2.5;
9.00256;0.538813;0.539437;2.40878;2.5;
9.00257;0.536238;0.536849;2.39239;2.5;
9.00258;0.533732;0.534329;2.37639;2.5;
9.00259;0.531307;0.531887;2.36084;2.5;
9.0026;0.528972;0.529533;2.3458;2.5;
9.00261;0.526736;0.527275;2.33134;2.5;
9.00262;0.524607;0.525123;2.3175;2.5;
9.00263;0.522595;0.523085;2.30434;2.5;
9.00264;0.520707;0.521169;2.29192;2.5;
9.00265;0.51895;0.519382;2.28028;2.5;
9.00266;0.517331;0.517732;2.26947;2.5;
9.00267;0.515856;0.516225;2.25954;2.5;
9.00268;0.514532;0.514867;2.25051;2.5;
9.00269;0.513363;0.513662;2.24242;2.5;
9.0027;0.512354;0.512616;2.23531;2.5;
